task,timesheetdate,comments,employee_id,created_at,updated_at,is_billed,hours,rate,workspace,project_id,client_id,role_id
Understanding the Medical System in USA using Aspire product,2015-10-16,NULL,6,2015-11-05,2015-11-05,0,8,1125,NULL,1036,5,2002
New work review&&& discussion estimates,2015-10-16,NULL,4,2015-11-05,2015-11-05,1,4,25,NULL,8,11,18
Resourcing meeting,2015-10-16,NULL,4,2015-11-05,2015-11-05,0,1,0,NULL,21,7,19
Dynamic SQL&&& Case study,2015-10-16,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Dynamic SQL&&& Case study,2015-10-16,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Dynamic SQL&&& Case study,2015-10-16,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Leave,2015-10-16,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
BI Portal model and report,2015-10-16,NULL,8,2015-11-05,2015-11-05,0,7.5,0,NULL,23,8,41
Distribute Ad-hoc report loaded and access given to users,2015-10-16,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
Ad-Hoc Report Expressions - optimization,2015-10-16,NULL,2,2015-11-05,2015-11-05,1,2,875,NULL,26,4,5
QlikView CSV file format changes&&& Stock Issues,2015-10-16,NULL,2,2015-11-05,2015-11-05,1,6,875,NULL,26,4,5
SQL Training,2015-10-16,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
QlikView Training ,2015-10-16,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
Syupply rupture Changes and Testing,2015-10-16,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
Client travel,2015-10-17,NULL,10,2015-11-05,2015-11-05,1,8,2250,NULL,1037,5,2004
Fix issue with buy credits page,2015-10-18,NULL,4,2015-11-05,2015-11-05,1,4,1125,NULL,1036,5,2002
Client travel,2015-10-18,NULL,10,2015-11-05,2015-11-05,1,8,2250,NULL,1037,5,2004
Project review in college,2015-10-19,NULL,8,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
Why SSIS&&& basics&&& Intro to DFT&&& CFT&&& Configurations and intro to Source and Destination in DFT,2015-10-19,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Why SSIS&&& basics&&& Intro to DFT&&& CFT&&& Configurations and intro to Source and Destination in DFT,2015-10-19,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Why SSIS&&& basics&&& Intro to DFT&&& CFT&&& Configurations and intro to Source and Destination in DFT,2015-10-19,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Why SSIS&&& basics&&& Intro to DFT&&& CFT&&& Configurations and intro to Source and Destination in DFT,2015-10-19,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Bugzilla issues - missing obs&&& missing bm issues,2015-10-19,NULL,21,2015-11-05,2015-11-05,1,7.5,1875,NULL,18,5,51
SSIS Training,2015-10-19,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
Discussion for CCD & HL 7,2015-10-19,NULL,21,2015-11-05,2015-11-05,1,1,1500,NULL,7,5,45
Introdcution&&& meetings and architecture overview and documents,2015-10-19,NULL,10,2015-11-05,2015-11-05,1,8,2250,NULL,1037,5,2004
Decathlon Visit&&& Meeting with Ravi & Asif&&& Amazon S3 Configuration,2015-10-19,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
Weekly Status Update&&& Access&&& A Codes List&&& SupplyOptimisation,2015-10-19,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
QlikView Practice,2015-10-19,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
Created list CPG KPIs,2015-10-19,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,6,10,31
File Upload Functionality and Project Master Selection without postback,2015-10-19,NULL,4,2015-11-05,2015-11-05,1,8,25,NULL,8,11,18
ETL enhancement project: deployment,2015-10-19,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
Bugzilla issues - missing obs&&& missing bm issues,2015-10-20,NULL,21,2015-11-05,2015-11-05,1,6.5,1875,NULL,18,5,51
Demo for parser CCD & HL 7,2015-10-20,NULL,21,2015-11-05,2015-11-05,1,2,1500,NULL,7,5,45
Imperiatives discussion&&& arch discussion and meeting with Chanal bruner,2015-10-20,NULL,10,2015-11-05,2015-11-05,1,8,2250,NULL,1037,5,2004
Case Study Review,2015-10-20,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Case Study Review,2015-10-20,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Case Study Review,2015-10-20,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Case Study Review,2015-10-20,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Finding a Solution for file transfer from Azure to AWS S3,2015-10-20,Nikhil's Time,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
Exploring various methods of extracting data from ccd files,2015-10-20,NULL,1,2015-11-05,2015-11-05,1,8,1125,NULL,7,5,46
SSIS Training,2015-10-20,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
QlikView SAP Sales csv loader&&& WH Rupture Investigation,2015-10-20,NULL,2,2015-11-05,2015-11-05,1,0,875,NULL,26,4,5
Qlikview tutorials and thesis preparation for the project.,2015-10-20,NULL,8,2015-11-05,2015-11-05,0,7,0,NULL,23,8,41
Testing on stock for Zirakpur Store on 19th OCT and Started load for Distribute Ad-hoc report.,2015-10-20,Radhika K,21,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
Supply Optimisation,2015-10-20,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
Created list CPG KPIs,2015-10-20,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,6,10,31
Sick - Food Poisoning,2015-10-20,NULL,4,2015-11-05,2015-11-05,0,8,0,NULL,31,6,12
ETL enhancement project: deployment,2015-10-20,NULL,5,2015-11-05,2015-11-05,1,5,25,NULL,12,12,2003
ETL enhancement project: comparing dev and prod,2015-10-20,NULL,5,2015-11-05,2015-11-05,1,3,25,NULL,12,12,2003
Review of previous topics,2015-10-21,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Review of previous topics,2015-10-21,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Review of previous topics,2015-10-21,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Review of previous topics,2015-10-21,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Bugzilla issues - missing obs&&& missing bm issues&&& entry detail,2015-10-21,NULL,21,2015-11-05,2015-11-05,1,3.5,1875,NULL,18,5,51
Sick leave,2015-10-21,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,31,6,12
Parser implementation Discussion,2015-10-21,NULL,21,2015-11-05,2015-11-05,1,5,1500,NULL,7,5,45
Ad-Hoc Report Expressions - optimization,2015-10-21,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
Started load for Distribute Ad-hoc report. Testing on stock for Noida Store,2015-10-21,Radhika K,9,2015-11-05,2015-11-05,1,0,750,NULL,26,4,53
Thesis Preparation,2015-10-21,NULL,8,2015-11-05,2015-11-05,0,5,0,NULL,23,8,41
Testing on sales amount for JAN-JUNE for all the stores.Testing on Rupture summary and Sales for retail and supply.,2015-10-21,Radhika K,9,2015-11-05,2015-11-05,1,1.5,750,NULL,26,4,53
Testing on Supply Optimisation&&& Access&&& taking live Supply and Data Model,2015-10-21,NULL,9,2015-11-05,2015-11-05,1,7,750,NULL,26,4,53
EDW analysis&&& architecture workflow&&& data flow and etc.&&&,2015-10-21,NULL,10,2015-11-05,2015-11-05,1,8,2250,NULL,1037,5,2004
Set Analysis QlikView ,2015-10-21,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
On Leave,2015-10-21,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
Interview,2015-10-21,NULL,4,2015-11-05,2015-11-05,0,1.5,0,NULL,21,7,19
Worklist page changes,2015-10-21,NULL,4,2015-11-05,2015-11-05,1,4.5,25,NULL,8,11,18
Performance review documents prep and discussion,2015-10-21,NULL,4,2015-11-05,2015-11-05,0,2,0,NULL,21,7,19
ETL enhancement project: deployment,2015-10-21,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
Going through the Code provided by Emids and storing the data in a database for inspection,2015-10-21,NULL,1,2015-11-05,2015-11-05,1,8,1125,NULL,7,5,46
On Leave,2015-10-22,NULL,2,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
Event Handlers&&& Union All&&& Sort&&&Merge&&& Derived Columns,2015-10-22,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Event Handlers&&& Union All&&& Sort&&&Merge&&& Derived Columns,2015-10-22,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Event Handlers&&& Union All&&& Sort&&&Merge&&& Derived Columns,2015-10-22,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Event Handlers&&& Union All&&& Sort&&&Merge&&& Derived Columns,2015-10-22,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
SSIS Training,2015-10-22,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
Holiday,2015-10-22,NULL,21,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
Access given to users for retail and supply. And Distribute ad-hoc report loaded.,2015-10-22,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
EDW analysis&&& architecture workflow&&& data flow and etc.&&&,2015-10-22,NULL,10,2015-11-05,2015-11-05,1,10,2250,NULL,1037,5,2004
Set Analyisis Examples practice Qlikview,2015-10-22,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
On Leave,2015-10-22,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
Understanding code and walkthrough with Ashish,2015-10-22,NULL,4,2015-11-05,2015-11-05,1,3,1125,NULL,7,5,46
Training SSIS - Event Handlers&&& Logging and DFT/CFT differences,2015-10-22,NULL,4,2015-11-05,2015-11-05,0,5,0,NULL,30,7,48
LEAVE,2015-10-22,NULL,5,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
Thesis Preparation,2015-10-22,NULL,8,2015-11-05,2015-11-05,0,4.5,0,NULL,23,8,41
Testing on retail dashboard. and Testing on data-model,2015-10-22,Radhika K,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
Data Model Validation&&& Ad-Hoc Optimisation,2015-10-22,NULL,21,2015-11-05,2015-11-05,1,3,875,NULL,26,4,5
Setting up Mirth and MDHT software and exploring the ccd parsing capabilities,2015-10-22,NULL,1,2015-11-05,2015-11-05,1,8,1125,NULL,7,5,46
On Leave,2015-10-23,NULL,2,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
Bugzilla issues - new MFR issues,2015-10-23,NULL,21,2015-11-05,2015-11-05,1,0.5,1875,NULL,18,5,51
Parser implementation Discussion,2015-10-23,NULL,21,2015-11-05,2015-11-05,1,1,1500,NULL,7,5,45
EDW analysis&&& architecture workflow&&& data flow and etc.&&&,2015-10-23,NULL,10,2015-11-05,2015-11-05,1,9,2250,NULL,1037,5,2004
Derived Columns&&& Conditional Split&&& Variables&&& Scope&&& Expressions,2015-10-23,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Derived Columns&&& Conditional Split&&& Variables&&& Scope&&& Expressions,2015-10-23,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Derived Columns&&& Conditional Split&&& Variables&&& Scope&&& Expressions,2015-10-23,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Derived Columns&&& Conditional Split&&& Variables&&& Scope&&& Expressions,2015-10-23,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Practice QlikView,2015-10-23,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
Created Presentation for CPG KPIs,2015-10-23,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,6,10,31
Code setup and help with issues,2015-10-23,NULL,4,2015-11-05,2015-11-05,1,4,1125,NULL,7,5,46
Activity Grid page changes,2015-10-23,NULL,4,2015-11-05,2015-11-05,1,4,25,NULL,8,11,18
ETL enhancement project: comparing dev and prod,2015-10-23,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
Thesis Preparation,2015-10-23,NULL,8,2015-11-05,2015-11-05,0,7,0,NULL,23,8,41
Testing on supply dashboard and started load for Distribute Ad-hoc report,2015-10-23,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
Setting up Everest Framework and testing ccd parsing,2015-10-23,NULL,1,2015-11-05,2015-11-05,1,8,1125,NULL,7,5,46
SSIS Training,2015-10-23,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
Supply Testing&&& InRangeIssue,2015-10-23,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
Bugzilla issues - new MFR issues,2015-10-23,NULL,21,2015-11-05,2015-11-05,1,3.5,1875,NULL,18,5,51
Onlife Interviews,2015-10-24,NULL,10,2015-11-05,2015-11-05,1,9,1000,NULL,1038,5,2005
Setting up Everest Framework and testing ccd parsing,2015-10-24,NULL,1,2015-11-05,2015-11-05,1,2,1125,NULL,7,5,46
On Leave,2015-10-26,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
LookUp&&& Exercise 1 2 and 3&&& sql execute task&&& row count,2015-10-26,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
LookUp&&& Exercise 1 2 and 3&&& sql execute task&&& row count,2015-10-26,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
LookUp&&& Exercise 1 2 and 3&&& sql execute task&&& row count,2015-10-26,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
LookUp&&& Exercise 1 2 and 3&&& sql execute task&&& row count,2015-10-26,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
SSIS Training,2015-10-26,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
QlikView practice and Batch script editing,2015-10-26,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
EDW analysis&&& universes&&& reports&&& functional roadmap,2015-10-26,NULL,10,2015-11-05,2015-11-05,1,12,2250,NULL,1037,5,2004
Apervita Everest Parser & Call,2015-10-26,NULL,21,2015-11-05,2015-11-05,1,4,1500,NULL,7,5,45
Saint Gobain Demo,2015-10-26,NULL,21,2015-11-05,2015-11-05,0,6,0,NULL,22,2,2
Decathlon Store Visit&&& Meeting with Ravi&&& Virgine&&& Anirudh,2015-10-26,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
Ad-hoc Expressions change&&& Access&&& Status Update,2015-10-26,NULL,9,2015-11-05,2015-11-05,1,10,750,NULL,26,4,53
Access given to users for Madurai and Rohin stores,2015-10-26,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
Thesis Preparation,2015-10-26,NULL,8,2015-11-05,2015-11-05,0,3,0,NULL,23,8,41
Converting the ccd to object and exploring the data of the object,2015-10-26,NULL,1,2015-11-05,2015-11-05,1,8,1125,NULL,7,5,46
Laptop service,2015-10-26,NULL,8,2015-11-05,2015-11-05,0,4,0,NULL,23,8,41
Training SSIS,2015-10-26,NULL,4,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
ETL enhancement project: comparing dev and prod,2015-10-26,NULL,5,2015-11-05,2015-11-05,1,8,25,NULL,12,12,2003
ForEach Loop&&& Sql Task &&& Sql Script task &&& sequence container&&& for loop container,2015-10-27,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
ForEach Loop&&& Sql Task &&& Sql Script task &&& sequence container&&& for loop container,2015-10-27,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
ForEach Loop&&& Sql Task &&& Sql Script task &&& sequence container&&& for loop container,2015-10-27,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
ForEach Loop&&& Sql Task &&& Sql Script task &&& sequence container&&& for loop container,2015-10-27,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
EDW analysis&&&meetings with CM team &&&John and Mike and DQS,2015-10-27,NULL,10,2015-11-05,2015-11-05,1,8,2250,NULL,1037,5,2004
ApplyMap&&& Lookup and joins in qlikview,2015-10-27,NULL,13,2015-11-05,2015-11-05,0,4,0,NULL,27,10,17
SSIS Training,2015-10-27,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
Apervita Stage Design & Call,2015-10-27,NULL,21,2015-11-05,2015-11-05,1,5,1500,NULL,7,5,45
Saint Gobain Demo,2015-10-27,NULL,21,2015-11-05,2015-11-05,0,4,0,NULL,22,2,2
Testing SAP DB Sales against Qlikview,2015-10-27,Nikhil's,2,2015-11-05,2015-11-05,1,0,875,NULL,26,4,5
SAP Sales Data Format Changes&&& WH Rupture Investigation,2015-10-27,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
Comparing the data from the object with the data required and making a list&&& making everest documentation,2015-10-27,NULL,1,2015-11-05,2015-11-05,1,8,1125,NULL,7,5,46
Adhoc Testing&&& ,2015-10-27,NULL,9,2015-11-05,2015-11-05,1,6,750,NULL,26,4,53
Testing on CAR and CAC stock on 26th and 27th OCT.,2015-10-27,Radhika K,9,2015-11-05,2015-11-05,1,2,750,NULL,26,4,53
Testing on Ad-hoc report,2015-10-27,Radhika K,21,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
Thesis Preparation,2015-10-27,NULL,8,2015-11-05,2015-11-05,0,4,0,NULL,23,8,41
Saint Gobain Data Understanding and Insight Generation ,2015-10-27,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,6,10,31
Training SSIS,2015-10-27,NULL,4,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
SQL certification prep,2015-10-27,NULL,5,2015-11-05,2015-11-05,0,6,0,NULL,30,7,49
Saintgobain Data Handling,2015-10-27,NULL,5,2015-11-05,2015-11-05,0,2,0,NULL,30,7,49
Bugzilla issues - new MOR &&&entry detail issues,2015-10-28,NULL,21,2015-11-05,2015-11-05,1,4,1875,NULL,18,5,51
Saint Gobain Demo,2015-10-28,NULL,21,2015-11-05,2015-11-05,0,4.5,0,NULL,22,2,2
Apervita Stage Design & Call,2015-10-28,NULL,21,2015-11-05,2015-11-05,1,3,1500,NULL,7,5,45
EDW analysis&&&meetings with Byrne and Cactus team&&& MoM and DQS,2015-10-28,NULL,10,2015-11-05,2015-11-05,1,9,2250,NULL,1037,5,2004
Qlikview documentation and practice,2015-10-28,NULL,13,2015-11-05,2015-11-05,0,3,0,NULL,27,10,17
Sales Data format testing&&& Stock format testing,2015-10-28,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
Testing SAP DB sales against Qlikview,2015-10-28,Nikhil's,2,2015-11-05,2015-11-05,1,2.5,875,NULL,26,4,5
Generating stock data CSVs for 2015 (jan - june),2015-10-28,Nikhil's,2,2015-11-05,2015-11-05,1,0,875,NULL,26,4,5
Ad-Hoc Testing. Access&&& BIPP Issue,2015-10-28,NULL,9,2015-11-05,2015-11-05,1,7,750,NULL,26,4,53
Distribute Ad-hoc report loaded and access given to users,2015-10-28,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
Testing on Ad-hoc report,2015-10-28,Radhika K,9,2015-11-05,2015-11-05,1,3,750,NULL,26,4,53
Thesis Preparation,2015-10-28,NULL,8,2015-11-05,2015-11-05,0,4.5,0,NULL,23,8,41
Saint Gobain Data Analysis and Model Building ,2015-10-28,NULL,6,2015-11-05,2015-11-05,0,9,0,NULL,6,10,31
Script Task&&& Execute process Task&&& File System Task&&& Execute Package Task,2015-10-28,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Script Task&&& Execute process Task&&& File System Task&&& Execute Package Task,2015-10-28,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Script Task&&& Execute process Task&&& File System Task&&& Execute Package Task,2015-10-28,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Script Task&&& Execute process Task&&& File System Task&&& Execute Package Task,2015-10-28,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Training SSIS,2015-10-28,NULL,4,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
SQL certification prep,2015-10-28,NULL,5,2015-11-05,2015-11-05,0,3,0,NULL,30,7,49
Saintgobain Data Handling,2015-10-28,NULL,5,2015-11-05,2015-11-05,0,5,0,NULL,30,7,49
SSIS Training,2015-10-28,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
Bugzilla issues - 7dlb entry detail & late entry issues,2015-10-29,NULL,21,2015-11-05,2015-11-05,1,4.5,1875,NULL,18,5,51
Apervita Stage Design & Call,2015-10-29,NULL,21,2015-11-05,2015-11-05,1,4,1500,NULL,7,5,45
EDW analysis&&&meetings with HCA team and DQS,2015-10-29,NULL,10,2015-11-05,2015-11-05,1,8,2250,NULL,1037,5,2004
practicing scripting for qlikview,2015-10-29,NULL,13,2015-11-05,2015-11-05,0,6.5,0,NULL,27,10,17
Open Orders Data for SAP,2015-10-29,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
Correcting the "satisfacion rating" script for retail qvw,2015-10-29,Nikhil's,2,2015-11-05,2015-11-05,1,0.5,875,NULL,26,4,5
Relating Vendor and partner Data sheets,2015-10-29,Nikhil's,2,2015-11-05,2015-11-05,1,2,875,NULL,26,4,5
North Zone Report Change,2015-10-29,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
Distribute Ad-hoc report loaded and access given to users,2015-10-29,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
Thesis Preparation,2015-10-29,NULL,8,2015-11-05,2015-11-05,0,7.5,0,NULL,23,8,41
Saint Gobain Model Validations and Analysis ,2015-10-29,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,6,10,31
Event Handlers&&&Logging&&& Job Scheduling&&& Checkpoints&&& Breakpoins&&& Data viewers,2015-10-29,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Event Handlers&&&Logging&&& Job Scheduling&&& Checkpoints&&& Breakpoins&&& Data viewers,2015-10-29,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Event Handlers&&&Logging&&& Job Scheduling&&& Checkpoints&&& Breakpoins&&& Data viewers,2015-10-29,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Event Handlers&&&Logging&&& Job Scheduling&&& Checkpoints&&& Breakpoins&&& Data viewers,2015-10-29,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Training SSIS,2015-10-29,NULL,4,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
SQL certification prep,2015-10-29,NULL,5,2015-11-05,2015-11-05,0,6,0,NULL,30,7,49
Saintgobain Data Handling,2015-10-29,NULL,5,2015-11-05,2015-11-05,0,2,0,NULL,30,7,49
SSIS Training,2015-10-29,NULL,12,2015-11-05,2015-11-05,0,3,0,NULL,30,7,48
Started analysing Cognos Reporting tool,2015-10-29,NULL,12,2015-11-05,2015-11-05,0,6,0,NULL,30,7,48
Bugzilla issues - 7 day adl entry detail & late entry issues,2015-10-30,NULL,21,2015-11-05,2015-11-05,1,6.5,1875,NULL,18,5,51
Apervita Stage Design & Call,2015-10-30,NULL,21,2015-11-05,2015-11-05,1,5,1500,NULL,7,5,45
EDW analysis&&&DQS and Visuals,2015-10-30,NULL,10,2015-11-05,2015-11-05,1,8,2250,NULL,1037,5,2004
QlikView Support Tasks - Need to Change,2015-10-30,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
QlikView Support Tasks - Need to Change,2015-10-30,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
Day off for thesis submission,2015-10-30,NULL,8,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
Congos Tutorials ,2015-10-30,NULL,6,2015-11-05,2015-11-05,0,4,0,NULL,30,7,48
Saint Gobain testing differnet scenarios,2015-10-30,NULL,6,2015-11-05,2015-11-05,0,4,0,NULL,6,10,31
Logging Template,2015-10-30,NULL,11,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Logging Template,2015-10-30,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Logging Template,2015-10-30,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Logging Template,2015-10-30,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
Training SSIS,2015-10-30,NULL,4,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
SQL certification prep,2015-10-30,NULL,5,2015-11-05,2015-11-05,0,6,0,NULL,30,7,49
Akira Linkedin Page change,2015-10-30,NULL,5,2015-11-05,2015-11-05,0,2,0,NULL,30,7,49
Exercies on Qlikview script ,2015-10-30,NULL,13,2015-11-05,2015-11-05,0,6,0,NULL,27,10,17
Analysis on Load time of various objects in retail qlikview report.,2015-10-30,Nikhil's,9,2015-11-05,2015-11-05,1,2,750,NULL,26,4,53
Leave ,2015-10-30,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,16,6,10
Changes and deployment,2015-10-30,To be invoiced in november due to Agr Budget limitation,4,2015-11-05,2015-11-05,0,6.5,40,NULL,28,12,28
Analysing Cognos Reporting tool,2015-11-02,NULL,12,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
Changes and deployment,2015-11-02,Carry forward from last month,4,2015-11-05,2015-11-05,1,6.5,40,NULL,28,12,28
Technical Design&&& qvd study,2015-11-02,NULL,13,2015-11-05,2015-11-05,0,8,0,NULL,27,10,17
Testing Executive report qlikview against supply and retail,2015-11-03,Nikhil's,2,2015-11-05,2015-11-05,1,4,875,NULL,26,4,5
Technical Design&&& qvd study,2015-11-03,NULL,13,2015-11-05,2015-11-05,0,2,0,NULL,27,10,17
Vodafone SIM Activation,2015-11-03,NULL,13,2015-11-05,2015-11-05,0,1,0,NULL,22,2,1
Generating stock data CSVs for 2015 (jan - june),2015-10-28,NULL,21,2015-11-05,2015-11-05,1,2.5,875,NULL,26,4,5
Decathlon (15th Sept 2015 to 15th Oct 2015),2015-10-05,NULL,15,2015-11-05,2015-11-05,1,644,43.27,NULL,1,4,59
Tableau Certification prep ,2015-11-05,NULL,6,2015-11-05,2015-11-05,0,6,0,NULL,30,7,49
Explaination of CPG KPIs and Mock Data prepartion ,2015-11-02,NULL,6,2015-11-05,2015-11-05,0,8,0,NULL,6,10,31
Mock up Data Prep for CPG Dashboards ,2015-11-04,NULL,6,2015-11-05,2015-11-05,0,2,0,NULL,6,10,31
Tableau Certification prep ,2015-11-03,NULL,6,2015-11-05,2015-11-05,0,6,0,NULL,30,7,49
Tableau Certification prep ,2015-11-04,NULL,6,2015-11-05,2015-11-05,0,6,0,NULL,30,7,49
Mock up Data Prep for CPG Dashboards ,2015-11-03,NULL,6,2015-11-05,2015-11-05,0,2,0,NULL,6,10,31
Mock up Data Prep for CPG Dashboards ,2015-11-05,NULL,6,2015-11-05,2015-11-05,0,3,0,NULL,6,10,31
Report Issues - QA report&&& 7ADL report issues,2015-11-02,NULL,21,2015-11-05,2015-11-05,1,5.5,1875,NULL,18,5,51
Report Issues - QA report&&& 7ADL report and late entry issues,2015-11-03,NULL,21,2015-11-05,2015-11-05,1,3.5,1875,NULL,18,5,51
